x1,x2,x3,f(x1,x2,x3)
9609691,2256113,3.20,141.56
9383433,8226381,3.33,465.22
7537404,128622,1.01,63.79
2501726,2662524,8.06,6.84
2020688,5365951,4.85,30.78
727650,8965739,0.31,4613.66
8372570,8319333,6.65,105.05
3865646,3830570,6.80,21.35
223434,8473848,4.60,5.98
1743763,686496,8.55,1.09
6782237,2961672,4.06,81.31
5716946,4429665,8.92,21.25
2045348,8910762,0.95,1354.25
3699192,6490698,0.73,2981.42
9793204,8777094,2.13,1266.45
6877284,2290667,6.34,26.13
2066352,1673647,8.13,3.49
940006,8347333,9.04,6.41
4560160,1379963,5.51,13.83
4813268,3614980,5.45,39.06
8546939,3358301,2.75,253.08
5845963,7911426,8.70,40.76
3269609,6850926,3.28,138.62
7934372,2561884,7.92,21.63
4715159,2591395,0.79,1310.49
1964581,4446482,1.92,158.80
9950765,3403198,5.22,83.07
420928,3470683,3.36,8.61
1190770,1022660,7.39,1.49
7251420,5798476,4.16,162.29
78132,2879472,6.66,0.34
2764259,5928553,5.80,32.51
1647086,2776102,9.99,3.06
2087897,1504322,8.88,2.66
4641483,7873848,4.14,142.04
5663898,6498480,9.20,28.99
2570812,5034500,1.61,335.20
5429611,3690044,1.75,435.88
9587478,4267283,7.91,43.60
327260,2962697,6.90,1.36
177422,8144316,6.07,2.62
7057266,1423618,1.62,254.27
9203169,8896717,5.83,160.90
4554997,7415533,4.64,104.85
3174399,278586,0.25,949.56
4458964,7634738,2.32,422.64
8115164,7947167,3.90,283.29
1270664,3455632,8.47,4.08
9136929,9283187,9.96,57.01
9366736,4598510,7.30,53.99
1119227,3462731,3.74,18.53
4366223,80981,5.64,0.74
4770397,2857315,6.60,20.85
1401843,4302343,8.06,6.20
3033616,3116569,5.19,23.41
5885300,681220,9.70,2.84
6281309,7681883,9.92,32.72
4652537,3775093,6.94,24.35
2185469,2061593,4.04,18.44
8653983,9750228,0.19,163197.31
5463018,8509931,9.59,33.72
7314552,2654754,5.60,41.27
993078,5302696,9.62,3.80
9494369,2607978,1.97,425.39
9924913,9571037,3.62,483.36
4768824,905768,2.34,52.79
5397881,4588045,5.75,50.03
118931,4524178,0.42,206.48
2153475,2917124,5.52,13.78
2652486,8669297,3.62,116.82
1628541,5311062,0.13,35965.13
5704194,5177235,5.13,74.90
1790888,1549908,4.58,8.82
8598405,7739559,9.21,52.30
3945497,6346373,2.76,218.79
4980072,2360595,7.97,12.36
8651657,9320682,4.46,270.98
9375110,5106589,4.21,180.22
617856,9112146,2.74,50.21
446618,5264503,9.57,1.71
569930,4680953,4.18,10.17
4153140,3390574,7.19,18.20
7425561,1457879,4.77,31.77
3042854,2514794,3.37,44.95
180018,1387904,3.91,1.09
4555454,815147,9.64,2.66
8458238,7220840,2.77,532.32
2242695,3441276,6.42,12.48
8179851,6231497,3.21,330.21
8018705,4626812,9.41,27.93
2898168,3475992,6.50,15.92
140903,2776839,3.21,2.54
7511868,1750447,4.82,37.83
2798812,6564932,8.79,15.87
3828342,4623396,0.15,55818.88
6617398,9154419,0.61,10978.70
3218142,742181,9.26,1.86
698400,7121481,7.39,6.08
897565,5513708,7.37,6.07
2131110,6372430,0.96,980.56
6486246,9147293,7.59,68.66
7275334,6902005,9.75,35.22
2903093,4806533,6.98,19.12
5095005,3440362,4.17,67.23
8599706,4601878,8.94,33.04
8910693,8409043,8.78,64.88
9017313,4688043,5.97,79.28
2121744,4894682,0.22,13887.52
1141570,9601544,8.26,10.72
1671193,16488,8.01,0.03
8488468,3943406,3.18,221.40
1704870,6791256,9.60,8.38
2871970,808773,6.07,4.20
8395186,5788146,8.74,42.48
8186482,8186197,6.32,111.90
5113294,6133972,1.22,1407.79
1210250,9560702,7.31,14.45
7863025,116027,1.66,22.11
5343406,3791135,8.34,19.45
2427243,2290305,5.49,12.32
7199547,3097280,9.99,14.90
3281698,4913649,7.67,18.30
9254076,758102,5.61,14.86
6731710,8173045,4.27,200.91
7216449,1430150,6.42,16.72
6620318,9296923,8.02,63.87
556043,4354552,0.66,376.25
5508863,6633447,9.27,28.38
2510638,1110499,0.11,15768.61
577135,7319921,0.80,439.79
9998875,5940058,5.11,151.67
5233741,3614568,6.24,32.41
8919178,4429501,0.62,6805.48
1140444,8405142,8.19,9.52
341454,9870885,6.10,6.05
3077964,4154573,4.49,42.39
3797377,797884,5.71,6.20
824851,7617601,7.56,7.33
5181874,5814124,8.98,24.92
8464059,308312,8.45,2.44
5342925,6201514,6.09,59.69
5721022,8879378,8.85,43.32
7128096,4170043,3.57,155.74
6988430,1471476,2.21,140.16
1062277,6717826,2.33,87.58
8491187,3606007,1.15,1538.15
4758518,6607976,7.89,33.72
9943845,7445164,7.23,94.60
7137983,3103261,6.05,40.38
4374293,68351,2.80,2.55
3300124,3965203,4.31,46.97
4322747,2869714,9.05,10.10
8902997,5424827,8.59,43.68
8133859,5043383,1.24,1787.41
7867912,9939896,6.90,109.61
770543,8385142,0.59,1257.43
4512686,9609231,0.11,233961.85
6688206,9014549,2.69,554.90
462793,1128384,6.33,0.87
